country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1985,0.7143,-0.7143,1.4286,0.28569999999999995,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1986,0.5714,-0.5714,1.1428,0.4286,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1987,0.6667,-1.0,1.6667,0.16664999999999996,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1989,0.75,-0.75,1.5,0.25,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1991,0.6667,-1.0,1.6667,0.16664999999999996,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1992,0.6667,-1.0,1.6667,0.16664999999999996,0
CHN,USA,ECONOMIC ASSISTANCE,1987,1.0,-0.2857,1.2857,0.35714999999999997,0
CHN,USA,HEALTH,2025,1.0,-1.0,2.0,0.0,0
CHN,USA,HUMAN RIGHTS,1991,0.6,0.2,0.39999999999999997,0.8,1
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1993,0.6667,-0.3333,1.0,0.5,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1994,0.75,-0.5,1.25,0.375,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1995,0.6667,-0.3333,1.0,0.5,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1996,1.0,-1.0,2.0,0.0,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1997,0.8571,-0.5714,1.4285,0.28574999999999995,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1998,1.0,-1.0,2.0,0.0,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,1999,0.8571,-0.5714,1.4285,0.28574999999999995,0
CHN,USA,HUMAN RIGHTS ADVANCEMENT,2000,0.8,-0.6,1.4,0.30000000000000004,0
