country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1994,0.4,0.0,0.4,0.8,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1995,0.4167,0.25,0.16670000000000001,0.91665,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1996,0.4286,0.0714,0.35719999999999996,0.8214,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1997,0.4167,0.1667,0.25,0.875,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1998,0.25,-0.0625,0.3125,0.84375,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1999,0.4286,-0.2143,0.6429,0.67855,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2000,0.2143,0.0,0.2143,0.89285,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2002,0.25,-0.5,0.75,0.625,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2005,0.3529,-0.4706,0.8235,0.5882499999999999,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2007,0.5,-1.0,1.5,0.25,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2008,0.3333,0.0,0.3333,0.83335,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2010,0.3333,0.0,0.3333,0.83335,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2011,0.3333,0.6667,0.3334,0.8333,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2012,0.3333,-0.6667,1.0,0.5,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2016,1.0,0.3333,0.6667000000000001,0.66665,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,2023,0.0,0.6667,0.6667,0.66665,0
IND,USA,"DISARMAMENT--GENERAL ASSEMBLY (10TH SPEC. SESS., 1978)--RECOMMENDATIONS",1984,0.8667,-0.6667,1.5333999999999999,0.23330000000000006,0
IND,USA,"DISARMAMENT--GENERAL ASSEMBLY (12TH SPEC. SESS., 1982)--RECOMMENDATIONS",1984,1.0,-0.5,1.5,0.25,0
IND,USA,DISARMAMENT--RECOMMENDATIONS OF GENERAL ASSEMBLY (10TH SPEC. SESS.)--IMPLEMENTATION,1983,0.8462,-0.6923,1.5385,0.23075,0
IND,USA,DISARMAMENT--RECOMMENDATIONS OF GENERAL ASSEMBLY (12TH SPEC. SESS.)--IMPLEMENTATION,1983,1.0,-0.5,1.5,0.25,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1985,0.8333,-0.6154,1.4487,0.27564999999999995,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1986,0.7692,-0.5385,1.3077,0.34614999999999996,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1987,0.7,-0.5,1.2,0.4,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1988,0.875,-0.75,1.625,0.1875,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1989,1.0,-0.6,1.6,0.19999999999999996,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1990,1.0,-1.0,2.0,0.0,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1985,1.0,-0.7143,1.7143000000000002,0.14284999999999992,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1986,1.0,-0.5714,1.5714000000000001,0.21429999999999993,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1987,1.0,-1.0,2.0,0.0,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1989,1.0,-0.75,1.75,0.125,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1991,1.0,-1.0,2.0,0.0,0
IND,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1992,1.0,-1.0,2.0,0.0,0
IND,USA,ECONOMIC ASSISTANCE,1987,1.0,-0.2857,1.2857,0.35714999999999997,0
IND,USA,HEALTH,2025,1.0,-1.0,2.0,0.0,0
IND,USA,HUMAN RIGHTS,1991,1.0,0.2,0.8,0.6,1
IND,USA,HUMAN RIGHTS ADVANCEMENT,1993,1.0,-0.3333,1.3333,0.33335000000000004,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,1994,1.0,-0.5,1.5,0.25,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,1995,1.0,-0.3333,1.3333,0.33335000000000004,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,1996,1.0,-1.0,2.0,0.0,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,1997,1.0,-0.5714,1.5714000000000001,0.21429999999999993,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,1998,1.0,-1.0,2.0,0.0,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,1999,1.0,-0.5714,1.5714000000000001,0.21429999999999993,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,2000,1.0,-0.6,1.6,0.19999999999999996,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,2001,1.0,-1.0,2.0,0.0,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,2002,0.8333,-1.0,1.8333,0.08335000000000004,0
IND,USA,HUMAN RIGHTS ADVANCEMENT,2003,0.6667,-1.0,1.6667,0.16664999999999996,0
