country_a,country_b,window_start,window_end,observations,mean_alignment,mean_divergence,directional_agreement
IND,RUS,1998,2002,27,0.8713833333333333,0.2572333333333333,0.9259259259259259
IND,RUS,1999,2003,28,0.8721071428571427,0.2557857142857142,0.9642857142857143
IND,RUS,2000,2004,26,0.8921250000000001,0.21575,1.0
IND,RUS,2001,2005,27,0.8877074074074074,0.22458518518518517,1.0
IND,RUS,2002,2006,27,0.8914111111111112,0.21717777777777775,1.0
IND,RUS,2003,2007,26,0.89685,0.20629999999999998,1.0
IND,RUS,2004,2008,23,0.9022347826086957,0.19553043478260868,1.0
IND,RUS,2005,2009,23,0.9000608695652174,0.19987826086956517,1.0
IND,RUS,2006,2010,21,0.9047595238095237,0.19048095238095236,1.0
IND,RUS,2007,2011,22,0.9015113636363636,0.19697727272727272,1.0
IND,RUS,2008,2012,22,0.8848454545454545,0.2303090909090909,0.9545454545454546
IND,RUS,2009,2013,21,0.8873,0.2254,0.9523809523809523
IND,RUS,2010,2014,20,0.8816649999999999,0.23667,0.95
IND,RUS,2011,2015,19,0.8491210526315789,0.30175789473684206,0.8947368421052632
IND,RUS,2012,2016,18,0.8222222222222223,0.3555555555555555,0.8333333333333334
IND,RUS,2013,2017,17,0.8382352941176471,0.3235294117647059,0.8823529411764706
IND,RUS,2014,2018,18,0.8472222222222222,0.3055555555555556,0.8888888888888888
IND,RUS,2015,2019,18,0.8458333333333333,0.30833333333333335,0.8888888888888888
IND,RUS,2016,2020,20,0.89125,0.21749999999999997,0.95
IND,RUS,2017,2021,19,0.9302631578947369,0.1394736842105263,1.0
IND,RUS,2018,2022,19,0.9157894736842105,0.16842105263157894,0.9473684210526315
IND,RUS,2019,2023,19,0.8903500000000001,0.21930000000000002,0.8947368421052632
IND,RUS,2020,2024,19,0.8771921052631579,0.24561578947368423,0.8421052631578947
IND,RUS,2021,2025,23,0.8675717391304347,0.26485652173913043,0.8260869565217391
IND,USA,1979,1983,11,0.2999636363636363,1.4000727272727271,0.0
IND,USA,1980,1984,24,0.26782291666666663,1.4643541666666664,0.0
IND,USA,1981,1985,37,0.27353513513513505,1.4529297297297297,0.02702702702702703
IND,USA,1982,1986,51,0.27528921568627446,1.4494215686274508,0.0196078431372549
IND,USA,1983,1987,65,0.28396307692307693,1.4320738461538463,0.03076923076923077
IND,USA,1984,1988,65,0.27313615384615386,1.4537276923076923,0.03076923076923077
IND,USA,1985,1989,63,0.2712880952380953,1.4574238095238095,0.031746031746031744
IND,USA,1986,1990,59,0.2653559322033898,1.4692881355932201,0.03389830508474576
IND,USA,1987,1991,52,0.2662490384615384,1.4675019230769233,0.07692307692307693
IND,USA,1988,1992,44,0.2475749999999999,1.5048499999999998,0.09090909090909091
IND,USA,1989,1993,40,0.2642075,1.471585,0.125
IND,USA,1990,1994,37,0.27552702702702697,1.448945945945946,0.13513513513513514
IND,USA,1991,1995,36,0.2854416666666666,1.4291166666666666,0.1388888888888889
